FnGroup,PlotGroup,Name,WPA,EPA.APS,EPA.APN,AOS,CIA,CIS,CIN
7,7,Small Continental Slope Demersals,NA,NA,NA,NA,NA,NA,0.001352619
7,7,Small Inshore Demersals,NA,NA,NA,NA,NA,NA,0.000803763
8,7,Adult Patagonian toothfish,NA,NA,NA,NA,NA,0.00578635,NA
8,7,Adult_mackerel_icefish,NA,NA,NA,0.3278892,NA,NA,NA
8,7,C gunnari,NA,NA,0.003098977,NA,NA,NA,NA
8,7,Juvenile Patagonian toothfish,NA,NA,NA,NA,NA,0.01810089,NA
8,7,Juvenile_toothfish,NA,NA,NA,0.007856573,NA,NA,NA
8,7,Large toothfish,NA,NA,NA,NA,0.075,NA,NA
8,7,Mackerel icefish,NA,NA,NA,NA,NA,0.034124629,NA
8,7,Other_icefish,NA,NA,NA,0.056015073,NA,NA,NA
8,7,Patagonian Toothfish,NA,NA,NA,NA,NA,NA,0.000459293
9,8,Benthic detritus,NA,1.847696647,NA,NA,NA,NA,NA
9,8,Carcass,NA,NA,NA,NA,NA,0,NA
9,8,Carcasses,0,NA,NA,NA,0.2,NA,NA
9,8,Detritus,NA,NA,0.019867887,0,0.3,5.86379822,3.32987715
9,8,Detritus_ice,0,NA,NA,NA,NA,NA,NA
9,8,Detritus_sediment,0,NA,NA,NA,NA,NA,NA
9,8,Detritus_water,0,NA,NA,NA,NA,NA,NA
9,8,Macrophyte Detritus,NA,NA,NA,NA,NA,NA,0.004248464
9,8,Pelagic detritus,NA,0.904191976,NA,NA,NA,NA,NA
10,2,Bacteria,NA,NA,NA,0.094862051,1.1,0.56379822,NA
10,2,Bacteria_ice,0.003157594,NA,NA,NA,NA,NA,NA
10,2,Bacteria_sediment,17.90209725,NA,NA,NA,NA,NA,NA
10,2,Bacteria_water,0.1686533,NA,NA,NA,NA,NA,NA
