"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"88",4,5,"Flying seabirds",NA,NA,0.000200027,7.86360036653867e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",4,5,"Flying_birds",0.000132894,8.37480720058731e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",4,5,"Fur_seal",NA,NA,NA,NA,NA,NA,0.052981813,0.00836909633217396,NA,NA,NA,NA,NA,NA
"91",4,5,"Gentoo Penguins",NA,NA,NA,NA,0.0012,4.13196959972233e-06,NA,NA,NA,NA,NA,NA,4.18e-05,4.79961603071754e-06
"92",4,5,"Gentoo_penguin",NA,NA,NA,NA,NA,NA,0.011796616,0.00186341331312435,NA,NA,NA,NA,NA,NA
"93",4,5,"Giant Petrels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06e-05,4.66182801069694e-06
"94",4,5,"Grey_headed_albatross",NA,NA,NA,NA,NA,NA,0.00459004,0.000725050441904126,NA,NA,NA,NA,NA,NA
"95",4,5,"Grey-headed Albatross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47e-05,9.72553774645397e-06
"96",4,5,"Humpback whale",NA,NA,0.003399903,0.00133659348372949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",4,5,"Humpback Whale",NA,NA,NA,NA,0.0812,0.000279596609581211,NA,NA,NA,NA,NA,NA,NA,NA
"98",4,5,"Indian Yellow-nosed Albatross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35e-05,9.58774972643337e-06
"99",4,5,"King Penguins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147164,0.00168978634819262
"100",4,5,"King_penguin",NA,NA,NA,NA,NA,NA,0.040087868,0.00633234708377144,NA,NA,NA,NA,NA,NA
"101",4,5,"Light-mantled Sooty Albatross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,8.03763450120163e-07
"102",4,5,"Macaroni Penguin",NA,NA,NA,NA,1e-04,3.44330799976861e-07,NA,NA,NA,NA,NA,NA,NA,NA
"103",4,5,"Macaroni Penguins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004102,0.000471005381770415
"104",4,5,"Macaroni_penguin",NA,NA,NA,NA,NA,NA,0.038265057,0.00604441279102939,NA,NA,NA,NA,NA,NA
"105",4,5,"Minke",0.000890348,0.00056108574062249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",4,5,"Minke whale",NA,NA,0.008999811,0.00353806821470995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",4,5,"Minke whales",NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.0014,NA,NA,NA,NA
"108",4,5,"Minke Whales",NA,NA,NA,NA,0.0473,0.000162868468389055,NA,NA,NA,NA,NA,NA,NA,NA
"109",4,5,"Other seabirds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00085,2.52225519287834e-05,NA,NA
"110",4,5,"Penguins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.000504451038575668,NA,NA
"111",4,5,"Predatory_seabirds",NA,NA,NA,NA,NA,NA,0.000660582,0.000104346644258854,NA,NA,NA,NA,NA,NA
"112",4,5,"Prions and Petrels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006566,7.53930116212713e-05
"113",4,5,"Ross",3.52e-05,2.2182582619281e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",4,5,"Ross seals",NA,NA,NA,NA,NA,NA,NA,NA,0.005,5e-04,NA,NA,NA,NA
"115",4,5,"Southern elephant seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,0.000326409495548961,NA,NA
"116",4,5,"Southern Elephant Seal",NA,NA,NA,NA,0.001,3.44330799976861e-06,NA,NA,NA,NA,NA,NA,NA,NA
"117",4,5,"Southern elephant seals",NA,NA,NA,NA,NA,NA,NA,NA,0.011,0.0011,NA,NA,NA,NA
"118",4,5,"Southern Elephant Seals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0009907,0.000113755492862006
"119",4,5,"Southern Rockhopper Penguins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00071,8.15245785121879e-05
"120",4,5,"Sperm",0.000844738,0.000532342911268359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",4,5,"Sperm whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,5.04451038575668e-05,NA,NA
